"0","211"
"1","1138"
"2","4769"
"3","533"
"4","508"
"5","283"
"6","175"
"7","85"
"8","122"
"9","56"
"10","101"
"11","35"
"12","40"
"13","26"
"14","21"
"15","20"
"16","28"
"17","17"
"18","9"
"19","12"
"20","15"
"21","6"
"22","7"
"23","9"
"24","10"
"25","11"
"26","5"
"27","6"
"28","5"
"29","4"
"30","6"
"32","3"
"33","2"
"34","3"
"35","1"
"36","4"
"37","1"
"38","2"
"39","2"
"40","5"
"41","2"
"42","2"
"43","1"
"44","2"
"45","1"
"47","3"
"48","1"
"49","1"
"50","2"
"51","1"
"52","2"
"53","1"
"55","1"
"56","1"
"58","1"
"59","1"
"61","2"
"63","1"
"66","1"
"67","2"
"69","1"
"76","2"
"77","1"
"79","1"
"108","1"
"114","1"
"138","1"
"152","1"
"192","1"
